일자,시가,고가,저가,종가,거래량
2024110700:15:30,110600,110600,110600,110600,11911
2024110700:15:20,111700,111700,111100,111200,2714
2024110700:15:19,111000,111700,110800,111600,2287
2024110700:15:18,111000,111300,111000,111000,1873
2024110700:15:17,110800,111000,110700,111000,2136
2024110700:15:16,110300,110800,110200,110700,1642
2024110700:15:15,110500,110600,110100,110200,4574
2024110700:15:14,110800,110800,110500,110500,1920
2024110700:15:13,110800,110900,110700,110800,1272
2024110700:15:12,110900,110900,110800,110800,983
2024110700:15:11,110900,111000,110800,110900,1442
2024110700:15:10,111000,111000,110900,110900,1050
2024110700:15:09,111000,111100,110900,111000,660
2024110700:15:08,111000,111000,110900,111000,458
2024110700:15:07,110900,111000,110800,110900,780
2024110700:15:06,111100,111100,110800,111000,1341
2024110700:15:05,111100,111300,111100,111200,563
2024110700:15:04,111200,111200,111000,111100,478
2024110700:15:03,111400,111500,111100,111100,1808
2024110700:15:02,111600,111600,111300,111600,452
2024110700:15:01,111100,111600,111000,111300,796
2024110700:15:00,110700,111200,110700,111000,795
2024110700:14:59,110900,111000,110800,110800,1316
2024110700:14:58,111400,111500,110900,110900,1941
2024110700:14:57,111300,111400,111200,111400,735
2024110700:14:56,111400,111500,111300,111400,638
2024110700:14:55,111300,111300,111200,111300,560
2024110700:14:54,111300,111400,111200,111200,761
2024110700:14:53,111200,111400,111100,111300,844
2024110700:14:52,111200,111500,111000,111400,651
